st_id,gw_st,ups_id,rf_id,group_name,rain_lag_days,up_lag_days,model,rmse,r2,kge,rmse_val,r2_val,kge_val,kge_r_val,kge_alpha_val,kge_beta_val,bias_val,aic,a,z0,z1,b,c,k_link,lambda,tau_rain,tau_up,d_sin,d_cos,a_std,z0_std,z1_std,b_std,c_std,k_link_std,lambda_std,tau_rain_std,tau_up_std,d_sin_std,d_cos_std,z,z_std,k_sgd,gamma,h_sea,k_sgd_std,gamma_std,h_sea_std
st32,9130211,st31,rf4,inland,0,0,base_tz,1.22774517040523,0.8183990764310438,0.8297017057346453,1.2244446107493614,0.8054159632084221,0.7821595784587614,0.90404840087185,0.8052054808284359,1.0174021602893004,-0.1277350476359471,1069.286900484074,0.0443952710530596,-16.741916666633582,0.3868086757351203,0.0157562597301552,1.4425836545571196,0.0296887198966795,,0.100000338602066,2.0378693805474475,0.0200987175898585,0.0799566251257619,0.0124330040812932,4.50855137301559,0.1092780946598392,0.001756380924808,0.0703224408343528,0.0114070479821271,,26.13632128948124,1.0253400028069084,0.0046060380716514,0.0049073021679496,,,,,,,,
st33,9130311,st58,rf24,coastal,0,0,base_tz,0.7371345703872474,0.8856381998604249,0.9160646676779646,1.3543592800290605,0.6289744671296115,0.7577973410206593,0.9324964898441592,0.7814144875388094,0.9204652410867944,1.0375535900798507,-1533.6923252324293,0.0072634893838764,-20.43174997448875,-1.9999992452204056,0.0045178021976163,2.7179988240808254e-16,1.4194231171489735,,11.566471155727513,0.559792986510144,0.2120143870059234,0.0186183300083221,1821.0790369396725,5378851.138165379,501433.4494244401,0.000500609809229,0.8288174898554476,0.0473670260516361,,2.132328371908073,0.0471212635716429,0.039174449277983,0.0524443814069367,,,0.1195656274828585,-9.930130525325178e-19,-22.952255743968003,1821.0787508567328,4.78547352314656,347032.17201905296
st34,9150111,st52,rf19,inland,0,0,base,0.2394087353496766,0.5888054926084085,0.6710065233073035,0.2305366608907293,0.4891797115271719,0.5228516218487985,0.7051358111880893,0.6248715394848474,1.0020791921862688,0.0128798565245213,-7292.887451835186,1.3246556740161597,,,0.0035632472387517,4.4281550711742444e-14,6.767390652875329e-16,,25.4210194098517,12.528440269053592,-0.1579987725254343,0.2268446030594913,0.0986888761525332,,,0.0002657317691896,5.376530896512779,0.0005351746545194,,1.163295827089504,7.887875163815695e-16,0.0162827217939021,0.0215284868106554,5.99620126846183,0.0643341537724103,,,,,,
st35,9170311,st21,rf16,inland,20,21,filtered,0.3851864980201376,0.9489897688111204,0.9631574767031192,0.5197095399782058,0.9194349961078137,0.9168632089427936,0.9676421906673516,0.9282564892757216,1.0267874386875069,-0.2268158815153942,-4818.82824861747,0.0061595107919487,,,0.0019992851974358,0.1160709788345696,0.00957124195511,2.0000636598583195,0.1000000000003717,0.5644894008664564,-0.0048319375024368,0.0016922567510007,0.0031214131079256,,,0.0005393059532426,0.0184820638313875,0.0030157940729857,0.0054129102050801,59.80306180522709,0.4951856719874655,0.0003506639928909,0.0005118102667209,-13.043333333331846,6.468651837792352,,,,,,
st36,9180111,none,rf24,coastal,0,0,base_tz,0.6374265226033705,0.6670069102769752,0.7206716143120291,1.134805203834593,0.075367005847475,0.3832134692786914,0.6578868818930702,0.4995282176519741,0.8863679887893735,0.6803744186294871,-2276.9173907355516,0.0298448221807736,-2.7329643123794356,-0.1126216349248171,0.0006486625554433,2.0329339856912942,4.8751656350200936e-08,,7.584848289589933,1.4624595058795655,-0.010293631842552,0.0095979130810093,33581.303101022655,152858.84523484804,126721.45801877296,5.2990506811954064e-05,0.0942861362081412,0.0531365810007532,,0.8287887261115725,692068.9962938337,0.0008410146894933,0.0011524904267467,,,0.0008687179528743,-6.156610512457229,-2.6038797170400447,33581.29254715285,0.5453889262888603,972047.8023837548
st37,9180211,st39,rf16,inland,0,1,filtered,1.5835709346546591,0.7915792919768316,0.7912936278814846,2.0697173303236513,0.6106109079989297,0.6493081434037027,0.790470750111779,0.7194497483991318,0.98066536654273,0.3179479394416411,2369.896337358496,0.0271052515945349,,,0.0010151906433675,4.115754943394447,0.0200625192499548,1.9863256755374077,29.999999998592564,0.7999999999999999,-0.0274401010382633,0.1393546790765953,0.0290543773562567,,,5.618890873703825e-05,0.3840749350085553,0.0266214069184714,0.1095685949716524,4.355104428016216,2.188685171797385,0.0048983528969996,0.0167882734869162,-26.126624999999994,26.60210352277448,,,,,,
st38,9180311,st39,rf16,inland,0,0,base,1.1110267551952402,0.7832835533617951,0.831735174787467,1.198420141824557,0.7672615813074175,0.8214097524611357,0.903172950555378,0.8576206414744385,0.9525962313977973,0.535011147814318,556.4254057967088,0.036661537896062,,,0.0093429705466034,3.4218633687618207,0.045275385114949,,0.1000000000207767,1.2013640438516608,0.074964037649741,0.061946097398151,0.0210914216179839,,,0.0015814840627403,0.2148175269475335,0.0181272355452347,,38.922272801708864,0.8119018231917534,0.0057987215404462,0.004080412967922,-16.510874999999977,8.83049520571475,,,,,,
st39,9180411,st20,rf16,inland,0,1,filtered_tz,0.6676075952504926,0.868790057852505,0.8782722056325042,0.9362550135151094,0.7070219900046707,0.6930991674854666,0.8596906564107387,0.8632379572375849,1.2362150561651726,-0.309584002323416,-2043.527679110662,0.3192631017970889,-4.414583333316718,-0.4688495798002852,0.0043360084267352,2.5366127063643056,0.1881340177126068,1.4520998377682124,29.99999999996773,0.7999999999965881,-0.3890359568315883,0.3328469470603422,0.0475401140334508,0.5412466184309138,0.0427847106747426,0.0003679653009769,0.3717828653776851,0.0269794363753511,0.2498523337537193,1.551515623560454,0.2391602579110069,0.0350776460259032,0.0372863979960216,,,,,,,,
st4,7060111,st45,rf5,inland,0,0,base,0.2863276154764208,0.6518817257678023,0.7275001130267994,0.6268725385770394,-0.3086219458433668,0.6123141857329012,0.8486258707741119,0.6696458088590165,1.1351009695769578,0.5470992615466272,-6377.663597610673,1.183447618197704,,,0.0051554212074079,0.2893896120096143,0.1393748469626286,,10.552454054933694,0.1000000208632284,-0.1020529951115252,-0.2543159289836946,0.080073354036139,,,0.0003215926421406,1.1684499018463133,0.0260742793159757,,0.6755114449270115,38.03046154844421,0.0132256004293986,0.0218877228772739,3.978458220698205,0.0889832348343039,,,,,,
st40,9200111,st55,rf16,inland,0,0,base,1.5172027839155136,0.9128063463747004,0.933743430387819,1.1224166136119225,0.9557126329137738,0.9640392928981222,0.9839318367985856,0.9865072509913844,0.9707949951071696,0.5939780761575157,2149.8648223655823,0.0083760568394863,,,0.0083452060073483,2.6914667841281155,0.1276908978576266,,0.9599710145895408,0.4835582043687965,-0.0536061753820087,0.0987644509815082,0.0467933656790544,,,0.0014866275181671,0.2233194113563257,0.0399224384700245,,0.3229772167293279,0.5845092131217083,0.010138805358392,0.0110702893286867,-36.3179583015878,200.4812685462468,,,,,,
st41,9200211,st40,rf16,inland,0,0,base_tz,1.3371537113609702,0.9420355344662228,0.957443559655389,1.2793726994157617,0.9446676905201592,0.955670868614594,0.9746950100399184,1.034983351565162,0.9899553752796312,0.2260882725239099,1505.8382258716738,0.0196864215113883,-29.269308501631706,0.5508783610030737,0.0081246449513925,2.7514722615087903,0.1002273703024704,,1.2355933127414842,0.1000004893406653,-0.0511792268738303,0.0368687434287907,0.0255048974146824,37.09971755862335,0.7083065679696396,0.0010981217879907,0.1351726933910916,0.0227690394008659,,0.2709201637146736,54.78478481484631,0.0072010715826242,0.007016650602359,,,,,,,,
st42,9200311,st40,rf16,inland,0,0,base,1.2092542800988948,0.953754115772653,0.966568338692949,1.2527176964298408,0.9522147207171866,0.9601589602907288,0.9816703261321126,0.9747528077947356,1.024777223144716,-0.612246281192661,989.6798023305104,0.0210727592104613,,,0.0058486519149897,2.9613559377176104,0.1048073059613042,,0.6219299281954291,0.2761909818350106,-0.1118636604728585,0.1549813450435015,0.0230226487712657,,,0.0014599118415071,0.1543078625836763,0.0198584369581844,,0.3921887702170222,0.5903520065405138,0.0079577556482212,0.0100940122730062,-43.55245833331985,46.22755683419992,,,,,,
st43,7050111,st8,rf14,coastal,0,0,filtered,0.2606900867693068,0.6778740809707708,0.7419454061569477,0.3495380059936286,0.4642947604832136,0.6755522071065585,0.8037543133468116,0.7540225388595917,1.0790511821186943,0.2021923208118918,-6849.379141198062,2.206725752660863e-05,,,0.0017939510915601,0.3382970002340525,0.0036444944325555,0.1,0.357831065738222,0.7999999999957418,-0.0004217872135859,-0.0009090497862931,892.1278952523936,,,0.0003758381451881,0.0582197658730722,0.0007978689339651,0.0429223501147971,0.423728965987002,0.194034317785796,0.0003554910861674,0.00047246641032,0.6143527415728044,142392.9289646895,0.0169595183678222,-0.0066583565731228,-6.272596440549996,892.1279712280093,0.0205350029625704,362239.084251716
st44,7100111,st8,rf1,inland,0,0,filtered,0.919296762488279,0.6850568993150199,0.7227162358094184,2.120948100861745,-3.4358565713021676,0.3437618655770914,0.4486138119267231,0.6565571326653091,1.0931061627917629,1.9090728696103056,-410.324126204294,9.70102270089018e-05,,,8.612966292609731e-27,5.7784670940537074e-33,4.708729787244083e-05,0.1000000000000044,28.676672430452115,0.7999999999999996,0.0025376003295587,-0.0083634095414933,0.000986735187798,,,5.668177834070425e-06,0.0245639880972566,0.0010425027391224,7.40956973731377,1.823258828333925e-13,37.29898326537367,0.0004843853967695,0.0006680190191402,24.343749999998792,292.85237002204656,,,,,,
